Substyle,Producer,Beer Name,Description,Photo ID
Weizen/Weissbier,Dogfish Head,Festina Peche,"Festina Peche is a neo-Berliner style Weisse fermented with peach juice. This unique, tart and refreshing brew is so down with the dog days of summer. Off-centered ales for off-centered people. 4.5% a.b.v. Recipe: Ingredients & Directions for Sampling Exchange Exampling & Change: The ingredients in our recipes come from the earth and the oven. They come from interfering and letting be. We use organic and natural ingredients wherever possible and our recipes are blissfully inefficient. We spend premium prices on the finest barley, hops and herbs. We use no extracts. For us, brewing is not a process of automation, but of imagination and passion. We wrap our hands around plastic shovels to clean out mash turns. We wrap our hands around sticky clumps of whole leaf hops and toss them into the boil kettle. We wrap our hands around our work because we are proud to make something with our own hands. We hope you enjoy drinking Dogfish Head Craft Brewed Ales as much as we enjoy making them.",638489001104
American Brown Ale,Dogfish Head ,Indian Brown Ale,"A clean, well-hopped brown ale with aromatic barley, caramelized brown sugar and whole leaf Liberty and Goldings hops. 7.2% Alc. by vol.",638489000268
American Brown Ale,Dogfish Head ,Palo Santo Marron,"Malt beverage aged on Palo Santo Wood. An epic brown ale. Lush and enjoyable, now this beer ages with the best of them. An unfiltered, unfettered, unprecedented Brown Ale aged in handmade wooden brewing vessels. The caramel and vanilla complexity unique to this ale comes from the exotic Paraguayan Palo Santo wood from which these tanks were crafted. At 10,000 gallons each, these are the largest wooden brewing vessels built in America since before Prohibition. It's all very exciting. We have wood. Now you do too. The ingredients in our recipes come from the Earth and the oven. They come from interfering and letting be. We use organic and natural ingredients wherever possible and our recipes are blissfully inefficient. We spend premium prices on the finest barley, hops & herbs. We use no extracts. For us, brewing is not a process of automation, but of imagination and passion. We wrap our hands around plastic shovels to clean out mash tuns. We wrap our hands around sticky clumps of whole leaf hops and toss them into the boil kettle. We wrap our hands around our work because we are proud to make something with our own hands. We hope you enjoy drinking Dogfish Head Craft Brewed Ales as much as we enjoy making them. 12% alc by vol.",638489000886
Dortmunder Export,Old Dominion Brewing Company,Dominion Lager,"Est. 1989. Purity. Freshness. Dominion Lager is brewed using a decoction process in the brew house with Two-Row Pale, Munich, Carapils and Caramel malts. The bittering hops are Perle and Hallertau from Washington State. The aromatic hops are domestic Tettnang, German Hallertau Hersbrucker and Czech Saaz. The classic German yeast (34-70) and the long, cold lagering produce a mild, smooth, flavorful, complex beer that is a delight to drink. Gold Medal winner 1997 in Dortmunder/ European Export category at the Great American Beer Festival. Alcohol by Volume: 5.4%.",723062000015
Premium American Lager,Dundee Brewing Co,Original Lager,Beer brewed with honey.,070310370377
Belgian Pale Ale,Duvel Moortgat Brewery,Duvel Belgian Golden Ale,"1871. Bottle conditioned. The Moortgat family brewery. Refreshing and golden like a Pilsner, but with the flavor, depth and complexity of an ale, this Belgian favorite has been brewed by four generations of the Moortgat family. The Pilsner malts, Bohemian hops and unique yeast strain combine to create Duvel's intensity, aroma and oomph. And the unusually long maturation process at our brewery ensures a mellow, balanced and beguiling flavor. - Moortgat Family. Duvel. Different for a reason. 1. Weird looking: Shaped to release the beer's abundant aromas, the Duvel glass allows the beer to slip under our distinctive head, and onto your expectant taste buds. 2. Vertically challenged: Duvel's bottle is short and stubby, and made from heavy-weight glass to withstand pressure created by bottle fermentation. The brown glass prevents UV damage. 3. Respect your elders: This Belgian classic brings forth brewing methods and standards that have operated at our Breendonk brewery since 1871. 4. Pale but interesting: Behind Duvel's golden hues and refreshing taste is a deep, complex and intriguing ale with big flavor. 5. Guaranteed not fresh: Duvel is fermented 3 times. Why? Flavor, depth, complexity and character. Everything you look for in a new acquaintance! 6. Big headed, but humble: Created by champagne-like bubbles mingling with proteins formed during the malting process, the luxuriant head is Duvel's distinctive calling card. Four generations of the Moortgat Family have brought together Pilsner malts, Bohemian hops, and a unique yeast strain to create this intense, aromatic and beguiling ale. Brewed and bottled by Duvel Moortgat. 8.5% alc./vol. Pour unhurriedly. Brewed and bottled in Belgium.",083706014151
American Amber Ale,Fat Tire,"Fat Tire Ale, Amber","Follow your folly. Wind powered. Employee owned. In this box is our labor of love. We feel incredibly lucky to be creating something fine that enhances people's lives. Know that we think about you as we're making it. Fat Tire Amber Ale's appeal is in its feat of balance: toasty, biscuit-like malt flavors coasting in equilibrium with hoppy freshness. Named in honor of Jeff's mountain bike trip from brewery to brewery through Belgium, Fat Tire is still crafted following the original home brew recipe that Jeff brainstormed on this cycling trip. Savor the flavor. Toasty malt flavors in tandem with hoppy freshness. ABV: 5.2%.",754527000226
American Pale Ale,Flying Dog Brewery,Doggie Style Classic Pale Ale,"Doggie Style. Dogs have it figured out. They sleep all day, lick themselves and eat everything but veggies. Be like the more enlightened species in your house by sipping this classic Pale Ale with its perfect balance of smooth malt and crisp hops. It's so good, you'll want to lap it up like your hound laps up toilet water. Good people drink good beer. - Hunter S. Thompson. 5.5% Alc/vol.",786243611028
American IPA,Flying Dog Brewery,Snake Dog IPA,"In the words of Hunter S. Thompson - good people drink good beer, so with the purchase of this 6-pack, you have earned our respect. We would like to extend an exclusive offer as our way of saying thanks. Consider it your reward for being a good person, who knows good beer. Next time you're in Frederick, Maryland, stop by and say hey! IBU: 60. 7.1% alc/vol.",786243111801
K_lsch,Flying Dog Brewery,Tire Bite Golden Ale,"Good people drink good beer - Hunter S. Thompson. In the words of Hunter S. Thompson, good people drink good beer, so with the purchase of this 6-pack, you have earned our respect. Next time you're in Frederick, Maryland, stop by and say hey!",786243111672
Weizen/Weissbier,Franziskaner Weissbier brewery,Classic Bavarian Wheat Beer,The classic naturally cloudy bottle-conditioned Munich wheat beer. Brewed in full accordance with the Bavarian Purity Law of 1516.,088394000332
American Pale Ale,Full Sail ,American Pale Ale,"Independent. Employee-owned. 12 fluid ounces of ridiculously tasty American Pale Ale concocted by our massive brewforce of 47. Specialists in the liquid refreshment arts since 1987. Fermenters of godlike nectar. You gotta love making beer to live and work in the spot we do. Really. I mean, who puts a brewery in a place where you're constantly tempted to start the day with a dawn patrol snowboard session, kite board the gorge all afternoon and round out the day's trifecta with a little sunset single-track? Answer: Us. Forty-seven people who own an indie brewery in Hood River, region. We're obsessed with two things: Making insanely good beer. And living an insanely good life. And if that means working four-day weeks instead of five, or breathing pine-scented air that didn't get that way from a miniature cardboard tree, or lining our pockets with seashells instead of cash, well, we must be doing something right. Enjoy the beer. Peace. Alc. 5.4% by vol.",024866103071
American IPA,Full Sail ,"Pale Ale, IPA","Independent. Employee-owned. 12 fluid ounces of ridiculously tasty India Pale Ale concocted by our massive brewforce of 47. Specialists in the liquid refreshment arts since 1987. Fermenters of godlike nectar. You gotta love making beer to live and work in the spot we do. Really. I mean, who puts a brewery in a place where you're constantly tempted to start the day with a dawn patrol snowboard session, kiteboard the gorge all afternoon and round out the day's trifecta with a little sunset singletrack? Answer: Us. Forty-seven people who own an indie brewery in Hood River, region. We're obsessed with two things: Making insanely good beer. And living an insanely good life. And if that means working four-day weeks instead of five, or breathing pine-scented air that didn't get that way from a miniature cardboard tree, or lining our pockets with seashells instead of cash, well, we must be doing something right. Enjoy the beer. Peace. Alc. 6.0% by vol.",024866125691
K_lsch,Gaffel Becker & Co.,Gaffel K_lsch,"Imported. Gaffel Brewery Cologne. The laws protecting the brewing of Kolsch are as strict as Germany's purity law of 1516. Kolsh Beer can only be brewed within the city of Cologne. As the best-known Kolsh Brewery, Gaffel's flavor is derived from an ale yeast that is - lagered - or aged in cold cellars. Gaffel is pale, faintly fruity with a crisp hop finish. Enjoy as an aperitif or digestif. Brewed and bottled in Cologne Germany. Alc 4.8% by vol.",832732001327
Cream Ale,Genesee Brewing Co. ,Genesee Cream Ale,"Since 1878. Award winning classic - flavor of a fine ale and the smoothness of a premium lager. Gold award winner Genesee Cream Ale world beer cup. Since its tradition, Genesee Cream Ale has won ten major medals at the great American beer festival and the world beer cup - and we have no intention of resting on our laurels. Exceptionally smooth, our Cream Ale is fermented at high temperatures, aged longer and brewed with choice top-fermenting yeast. The result is a true original American classic with the flavor of a fine ale and the smoothness of a premium lager. World beer cup gold.5.1% alc./vol.",070310000403
Weizen/Weissbier,Goose Island,312 Urban Wheat,"Densely populated with flavor, 312's spicy aroma of Cascade hops is followed by a crisp, fruity ale flavor delivered in a smooth, creamy body. Brewed and bottled by Goose Island Beer Company.",736920113093
Belgian Pale Ale,Goose Island,Matilda,"This craft brew delivers a subtle fruity aroma and spicy yeast flavors, with a hint of cloves and banana. Once upon a time in a valley, a beautiful countess lost something precious to her in a small pond. Racked with grief, she prayed for its return. Very quickly it resurfaced in the most wondrous of ways. After her prayers had been answered she blessed the pond and valley. Later, she had an abbey built there. Today they brew beer and while we were traveling in Belgium we stopped in, heard the story and tried the beer. Really good beer and a great story. Of course, we wanted to share what we'd heard and tasted. Usually we'd do that over beers. This time we did it with a beer. Recreating that experience wasn't easy. It's made with rare yeast that's very difficult to come by. No other beer we make is like this, slightly fruity with a profuse amount of hops, it's great with a plate of fresh mussels. - Greg Hall, Brewmaster. 7% alcohol by volume.",736920111716
Belgian Pale Ale,Goose Island,Sofie,"Saison style beers started out as farmhouse ales. Often, they were dry hopped or even spiced. Farmers brewed them in the winter and stored them until harvest. In many cases, the beer was aged in oak barrels. Almost all the saisons came from family farms. Goose Island's Sofie is a traditional saison. Regional barley malt is used. Amarillo hops add a spicy, fruity aroma. Cellaring is done is oak barrels with orange peel. Every bottle contains active yeast. How come we named it Sofie? After my daughter, of course. Love goes into every bottle. Like my girl, our saison, Sofie, is bright and full of life. - Greg Hall, Brewmaster.",736920112522
Extra Special/Strong Bitter (English Pale Ale),Goose Island,Chicago Honker's Ale,"Inspired by visits to England country pubs, Honker's Ale is the perfect blend of hops and malt. A smooth, drinkable English bitter for those drinkers who want more from their beer. Brewed and bottled by Goose Island Beer Co., Chicago, IL.",736920111112
English IPA,Great Lakes Brewing Co,Commodore Perry,"A handcrafted India Pale Ale - Cleveland, Ohio. Don't give up the sip. Located in Cleveland, Ohio, Great Lakes Brewing Company is an environmentally and socially conscious brewer of award-winning, all natural beer. Since our handcrafted beer is brewed 100% fresh without chemicals or preservatives, you will experience the unique aroma, flavor, body and color characteristic of a carefully crafted brew. The care that goes into our beer resonates from our commitment to the community and environment, which we refer to as the triple bottom line - to engage in economic, social and environmental practices that achieve a sustainable, yet profitable, business. These Include: Changing natural resource use from take, make, waste to take, make, remake; Implementing efficient energy practices; Investing in our community through non-profit organizations; Supporting sustainable urban renewal projects. The three waves in our company logo not only reflect our triple bottom line philosophy, they represent our concerted effort to the respectful use of our beer's most valuable ingredient - water. Since beer is over 90% water, we understand that quality water translates into a great beer drinking experience, so we only use the freshest water from the Great Lakes region. We invite you to sample our nationally acclaimed beers. Brewed from all natural ingredients.",704361700240
Dortmunder Export,Great Lakes Brewing Co,Dortmunder Gold,"A handcrafted golden lager from Cleveland, Ohio.",704361100248
German Pilsner (Pils),Grolsch Bierbrouwerij,Grolsch Premium Lager,"Imported. Since 1615. Craftsmanship & artistry. Ale in TX. 5% alc/vol. Brewed and bottled by Grolsch Bierbrouwerij, Holland.",083741000058
Vienna Lager,Guinness Ltd,Harp Lager,Imported. Genuine Irish recipe. Product of Canada.,083820234732
American Pale Ale,Harpoon Brewery,Harpoon India Pale Ale,"IPAs were originally brewed during the height of the British Empire for the troops stationed in India. The high gravity and increased hops acted as natural preservatives. In the tradition of IPAs, our highly-hopped, copper-colored ale features a floral nose, medium body and an aggressive, clean hop finish. We hope you enjoy this beer as much as we do. Love beer. Love life. In 1986 Harpoon co-founders Rich Doyle and Dan Kenary began brewing Harpoon in Boston to share with others the joy of making and drinking great beer. In 2000, we added a second brewery in Windsor, VT to keep up with the demand. We work each day to achieve our goal of becoming New England's most respected brewery. We hope you enjoy our beer as much as we do.",041827000767
Weizen/Weissbier,Harpoon Brewery,UFO Hefeweizen,"Harpoon's unfiltered offering. UFO Hefeweizen is brewed by the Harpoon Brewery in Boston, MA and Windsor, VT. This American unfiltered wheat beer features a cloudy golden color, refreshing light body and a clean finish. A wedge of lemon complements its citrus-like aroma and completes the UFO experience: partly cloudy, 38 degrees. Hefeweizen's originated in Bavaria and date back over 400 years. Hefe means yeast in German, weizen means wheat. Brewed with wheat malt, these beers tend to be refreshing and light-bodied with a slightly fruity aroma. The unfiltered yeast remains in suspension, giving this style its signature cloudy appearance and soft mouthfeel.",041827900166
American Pale Ale,Victory Brewing Company,Headwaters Pale Ale,"Head into refreshment! Taste victory. Visit Victory! At our brewery/restaurant for all victory beers, great meals, brewery tours and fun times! Or online for all the latest news, Victory Views newsletter and great victory merchandise at: www.victorybeer.com.",630279492062
American IPA,Heavy Seas,Loose Cannon - American Hop3 Ale,"Clipper City celebrating 10 years of brewing excellence 1995-2005. This here pounder has a fine layer of yeast at her bottom. It won't send you to Davy Jones' locker, but will protect your brew from the rigors of life at sea! Our Loose Cannon Hop3 Ale is a hop shot across the bow! Hops, hops, and more hops - over 3 lbs per barrel, at 3 different times in the process. Herbal and aromatic and amazingly delicious American IPA. 7.25% alc/vol.",731760003351
Imperial Stout,Heavy Seas ,Peg Leg Imperial Stout,"This here pounder has a fine layer of yeast at her bottom. It won't send you to Davy Jones' locker, but will protect your brew from the rigors of life at sea! Beware of the pirate! Our Peg Leg Imperial Stout is dangerously dark yet very drinkable - with the luxurious character of roasted coffee and dark chocolate. 8.0% alc/vol.",731760003207
Oktoberfest/M_rzen,Hofbrau Munchen ,Hofbrau Oktoberfest Ale,"Hofbrau Oktoberfest is specially brewed and bottled in accordance with the German Purity Law. Brewed in Germany by Staatliches Hofbrauhaus in Munchen, Hofbrauallee 1. The original brew of Bavarian Kings! Munich Specialty. The Oktoberfest originated in Germany in 1810 in Munich, Germany as a wedding celebration for the Crown Prince Ludwig of Bavaria. This product was created especially for this event and is brewed usually for the Oktoberfest, one of the biggest party events in the world. Hofbrau Munchen (HB) is one of a select group of breweries granted the privilege of supplying the Oktoberfest with their products. Using the highest quality ingredients, HB's Oktoberfest Specialty has its own distinctive and unmistakable taste. Product of Germany.",675747014278
Maibock/Helles Bock,Hofbrau Munchen ,Hofbrau Maibok,Hofbrau Maibock has the longest pedigree of all Munich's Bocks. Its aromatic flavor and alcoholic content of approximately 7.2% by volume makes it one of the best creations from Hofbrau's brewing kettles.,675747011178
Weizen/Weissbier,Hofbrau Munchen ,Hofbrau Kindle Hefe Weizen,This unfiltered Hefe Weizen is characterized by its sparkling rich foam and naturally by its unforgettable refreshing fruity taste.,675747004064
Munich Helles,Hofbrau Munchen ,Hofbrau Original Lager,"Full bodied, offering a truly fine hops aroma with a light golden color, it is a superbly well-balanced lager.",675747001117
American Amber Ale,Tr_egs Brewing Company,Hopback Amber Ale,"Handcrafted by the Troegs Brothers. Troegs independent craft brewery, Pennsylvania. Each batch of HopBack Amber Ale flows through a bed of whole flower hops creating a fresh aroma, spicy taste and rich caramel note that defines our signature beer. Cheers. - Chris & John. 6% alc/vol.",637704000816
American IPA,Anderson Valley Brewing Company,Hop Ottin' India Pale Ale,The legendary Boonville Beer. Solar powered brewery. One of the world's 10 best breweries. Consistently judged one of the world's finest breweries.,009125001466
Northern English Brown Ale,Ithaca Beer Co,Nut Brown Ale,"The spirit of the Finger Lakes. Brewed and bottled at the Ithaca Beer Co., Ithaca, NY. Our brewery is located in beautiful Ithaca, New York, just south of Buttermilk Falls State Park on Rt. 13 in the heart of the Finger Lakes region.",606905003100
American Pale Ale,Ithaca Beer Co,Pale Ale,"The spirit of Finger Lakes. Brewed and bottled at the Ithaca Beer Co., Ithaca, NY. Our brewery is located in beautiful Ithaca, New York, just south of Buttermilk Falls State Park on Rt. 13 in the heart of the Finger Lakes region.",606905004107
Belgian Golden Strong Ale,Ithaca Beer Co,Cold Front,"The spirit of Finger Lakes. Our brewery is located in beautiful Ithaca, New York, just south of Buttermilk Falls State Park on Rt. 13 in the heart of the Finger Lakes region.",606905006101
American Wheat or Rye Beer,Ithaca Beer Co,Excelsior! Wheat Ale,"A Belgo-American Ale brewed with domestic barley and French wheat malts, the finest Continental and US grown hops, and fermented with Belgian, English and Wild yeasts. Enjoy the glowing opaque appearance, fruity and herbal aromas, zesty mouthfeel and bone-dry finish. Batch No. E!025. Ik-sel-SE-or, ever upward, still higher, more lofty, more elevated. The Excelsior! Series is our premium lineup of hand-crafted specialty beers, issued in extremely limited runs. They meld complimentary flavors while defying existing style guidelines. We search the world for the finest ingredients, and lovingly use them with both ancient and cutting-edge brewing techniques in the most artistic and exacting way. These beers are unfiltered, hand-packaged and bottle-conditioned. Each one is alive, has a unique personality and may be cellared indefinitely. Cheers! Alc. 8% by vol.",606905030717
